maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Acura,Acura ILX,20430,17854,18531,14597,11757,11273.0,14685.0,13414.0,13900.0,6296
Acura,Acura Integra,0,0,0,0,0,0.0,0.0,0.0,0.0,13027
Acura,Acura TL,24318,10616,88,0,0,0.0,0.0,0.0,0.0,0
Acura,Acura TLX,0,19127,47080,37156,34846,30468.0,26548.0,21785.0,26100.0,11508
Acura,Acura TSX,17484,6287,35,4,0,0.0,0.0,0.0,0.0,0
Acura,Acura RL,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Acura,Acura RLX,0,3413,2195,1478,1237,1931.0,1019.0,1055.0,214.0,3
Acura,Acura RLX/RL,5053,0,0,0,0,0.0,0.0,0.0,0.0,0
Acura,Acura NSX,0,0,0,269,581,170.0,238.0,128.0,124.0,298
Acura,Acura RDX,44750,44865,51026,52361,51295,63580.0,62876.0,52785.0,57013.0,24749
Acura,Acura MDX,53040,65603,58208,55495,54886,51512.0,52019.0,47816.0,60057.0,46425
Acura,Acura ZDX,361,78,2,0,0,0.0,0.0,0.0,0.0,0
Alfa Romeo,Alfa Romeo 4C,0,91,663,480,407,238.0,144.0,99.0,77.0,1
Alfa Romeo,Alfa Romeo GIULIA,0,0,0,36,8903,11519.0,8704.0,8216.0,7634.0,5092
Alfa Romeo,Alfa Romeo Stelvio,0,0,0,0,2721,12043.0,9444.0,10271.0,10539.0,7752
Aston Martin,Aston Martin Unclassified,0,0,1020,1032,684,984.0,1164.0,1632.0,1350.0,1845
Audi,Audi A3,857,22250,35984,31538,23610,18305.0,10418.0,9937.0,2390.0,9788
Audi,Audi A4,36744,33993,29013,34687,34434,34566.0,26435.0,18341.0,16263.0,15239
Audi,Audi A4 Allroad quattro,5386,4686,2818,2300,3240,0.0,0.0,0.0,0.0,0
Audi,Audi A5,18664,16620,12934,8354,21301,25972.0,23023.0,18828.0,17408.0,18349
Audi,Audi TT,2053,1158,1167,3044,2294,1289.0,1324.0,830.0,986.0,516
Audi,Audi A6,22428,23941,22850,18686,16304,10561.0,17807.0,10535.0,9544.0,6003
Audi,Audi A7,8483,8133,7721,6558,4810,3852.0,4955.0,2859.0,3081.0,2237
Audi,Audi e0tron GT,0,0,0,0,0,0.0,0.0,0.0,1226.0,2275
Audi,Audi A8,6300,5904,4990,4149,3127,1599.0,2963.0,2376.0,2069.0,1594
Audi,Audi R8,813,735,495,736,772,927.0,574.0,581.0,649.0,314
Audi,Audi Q3,0,3654,13229,20048,20633,16828.0,14822.0,27251.0,34462.0,25066
Audi,Audi Q4 e0tron,0,0,0,0,0,0.0,0.0,0.0,64.0,3505
Audi,Audi Q5,40355,42420,52006,49550,57640,69978.0,67516.0,50435.0,60301.0,62912
Audi,Audi e0tron,0,0,0,0,0,0.0,5369.0,7202.0,9695.0,10397
Audi,Audi Q8,0,0,0,0,0,2029.0,14256.0,12074.0,12538.0,9372
Bentley,Bentley Unclassified,0,0,2686,2581,2405,2395.0,1882.0,1553.0,3350.0,3837
BMW,BMW i3,0,6092,11024,7625,6276,6117.0,4854.0,1703.0,1476.0,9
BMW,BMW 1 Series,7220,0,0,0,0,0.0,0.0,0.0,0.0,0
BMW,BMW 1/2 Series,0,7345,13020,0,0,0.0,0.0,0.0,0.0,0
BMW,BMW 2 Series,0,0,0,15519,11737,9208.0,8015.0,14618.0,15683.0,11548
BMW,BMW 3 Series,0,0,94527,70458,59449,44578.0,47827.0,41249.0,49461.0,30400
BMW,BMW 3/4 Series,119521,142232,0,0,0,0.0,0.0,0.0,0.0,0
BMW,BMW 4 Series,0,0,46082,35763,39634,31379.0,18621.0,9495.0,22937.0,28491
BMW,BMW Z4,2480,2151,1829,1187,502,4.0,2941.0,2371.0,2367.0,1567
BMW,BMW 6 Series,9762,8647,8146,3947,3355,3762.0,1139.0,199.0,55.0,0
BMW,BMW 5 Series,56863,52704,44162,32408,40658,43937.0,38709.0,26785.0,24523.0,20859
BMW,BMW i4,0,0,0,0,0,0.0,0.0,0.0,0.0,8463
BMW,BMW 7 Series,10932,9744,9292,12918,9276,8271.0,8823.0,6443.0,7706.0,5692
BMW,BMW 8 Series,0,0,0,0,0,223.0,4410.0,7737.0,7760.0,7311
BMW,BMW i7,0,0,0,0,0,0.0,0.0,0.0,0.0,284
BMW,BMW i8,0,555,2265,1594,488,772.0,1102.0,188.0,18.0,5
BMW,BMW X1,26512,22808,14420,27812,30826,29060.0,17815.0,14405.0,18253.0,7103
